-89.18333 13.68333
-117.17 32.7
-87.92 43.03
-82.45 27.95
-112.07 33.48
-95.35 29.75
-66.17 45.3
-83.05 42.33
-72.92 41.32
-105.95 35.68
-121.88 37.33
-97.32 32.72
-83.93 35.95
-118.25 34.05
-109.72 48.55
-157.83 21.3
-81.08 32.08
-90.1833 38.6333
-96.15 19.18333
-83.55 41.65
-79.95 37.28
-89.771 43.6275
-111.9 40.77
-90.67 42.52
-115.2 36.17
-81.62 41.47
-81.57 43.03
-99.13333 19.43333
-66.17 18.5
-93.7 32.47
-86.3 32.35
-104.87 41.15
-119.8 36.73
-78.83 42.92
-92.33333 34.7333
-93.62 41.58
-77.95 34.23
-79.95 40.45
-81.8 24.55
-97.86667 22.25
-112.02 43.5
-84.38 33.75
-71.5 43
-96.73 43.55
-105.52 50.62
-89.6301 44.9591
-118.18 33.77
-104.25 32.43
-121.73 42.17
-112.08 38.77
-70.25 43.67
-97.73 30.27
-100.78 46.8
-98.55 29.38
-122.43 37.78
-97.28 37.72
-165.5 64.42
-71.4 41.83
-119.82 39.5
-76.63 39.3
-90.2 38.58
-74.17 40.73
-84.5 39.13
-89.616667 20.96667
-90.2179 38.0095
-73.75 42.67
-101.83 35.18
-72.57 42.1
-76.5 44.25
-108.55 39.08
-114.02 51.02
-77.03 38.88
-94.58 39.1
-116.22 43.6
-93.23 44.98
-89.63 39.8
-149.9 61.22
-71.18 46.82
-79.93 32.78
-85.13333 41.08333
-121.5 38.58
-123.35 48.42
-73.97 40.78
-105 39.75
-81.3 28.416667
-85.67 42.97
-80.83 35.23
-73.58 45.5
-98.26667 19.05
-99.88333 16.86667
-90.07 29.95
-111.68 35.22
-123.08 44.05
-95.98 36.15
-113.47 53.57
-122.68 45.52
-81.67 30.37
-122.33 47.62
-117.83 44.78
-97.12 49.9
-96.77 32.77
-67 44.9
-83.02 40
-77.48 37.55
-90.466667 49.05
-97.47 35.43
-91.56667 14.83333
-79.4 43.67
-117.28 49.5
-89.25 48.38333
-68.78 44.8
-106.65 35.08
-86.78 36.17
-100.35 44.37
-86.17 39.77
-75.72 45.4
-88.05 30.7
-76.13 43.03
-78.65 35.77
-88.76667 17.25
-96.8 46.87
-90.5333 14.83333
-93.28 37.22
-85.77 38.25
-75.17 39.95
-75.97 36.85
-96.67 40.83
-92.08 46.82
-106.48 31.77
-72.53 44.25
-71.08 42.35
-117.03 46.4
-86.83 33.5
-135.25 57.17
-90.2 32.33
-134.4 58.3
-122.27 37.8
-89.589 40.6936
-92.26667 14.9
-81.03 34
-90.05 35.15
-123.1 49.22
-87.62 41.83
-112.03 46.58
-93.05 34.52
-80.2 25.77
-117.43 47.67
-81.63 38.35
-95.93 41.25
-115.55 32.63
